0	<PAD>	0
1	<UNK>	1.853836143130981e-06
2	缝	3.707672286261962e-06
3	亚德	1.2976853001916867e-05
4	劳雷	5.561508429392943e-06
5	杰出	1.2976853001916867e-05
6	科龙	5.561508429392943e-06
7	10月生	4.6345903578274524e-05
8	之	2.039219757444079e-05
9	华中科技大学	3.5222886719488636e-05
10	1972年	0.0002428525347501585
11	电新	5.561508429392943e-06
12	国土资源局	2.039219757444079e-05
13	住房	5.561508429392943e-06
14	鄞县	5.561508429392943e-06
15	能人	5.561508429392943e-06
16	皇家	5.561508429392943e-06
17	维多利	7.415344572523924e-06
18	基	1.1123016858785886e-05
19	卓越	5.561508429392943e-06
20	合伙人	0.00011308400473098984
21	长兴	9.269180715654904e-06
22	充分	5.561508429392943e-06
23	熊必琳	7.415344572523924e-06
24	〇〇	5.561508429392943e-06
25	接受	5.561508429392943e-06
26	杰出青年	1.6684525288178828e-05
27	马崇贤	7.415344572523924e-06
28	纳州	5.561508429392943e-06
29	周年	1.2976853001916867e-05
30	旅游	3.1515214433226674e-05
31	营部	5.0053575864536486e-05
32	第四届	4.6345903578274524e-05
33	其	1.4830689145047848e-05
34	98年	7.415344572523924e-06
35	新加坡	4.078439514888158e-05
36	SaintGobainCorporation	4.263823129201256e-05
37	长江	2.4099869860702753e-05
38	任劳	5.561508429392943e-06
39	会社	3.5222886719488636e-05
40	一副	9.269180715654904e-06
41	绪芳	5.561508429392943e-06
42	企划科	7.415344572523924e-06
43	技术开发	2.4099869860702753e-05
44	公司章程	9.269180715654904e-06
45	家中	9.269180715654904e-06
46	1970年	0.0002799292576127781
47	南南	3.89305590057506e-05
48	10日	1.853836143130981e-05
49	整车	9.269180715654904e-06
50	生在	2.039219757444079e-05
51	你	3.707672286261962e-06
52	恒生	5.561508429392943e-06
53	院	1.2976853001916867e-05
54	机车	9.269180715654904e-06
55	三星	9.269180715654904e-06
56	16	9.269180715654904e-06
57	山鹰	1.2976853001916867e-05
58	32	5.561508429392943e-06
59	派任	5.561508429392943e-06
60	任为	2.039219757444079e-05
61	00656	1.1123016858785886e-05
62	资历	5.561508429392943e-06
63	龚	9.269180715654904e-06
64	淀粉	5.561508429392943e-06
65	亚敏	5.561508429392943e-06
66	百科	5.561508429392943e-06
67	CC	5.561508429392943e-06
68	南油	5.561508429392943e-06
69	建筑安装	1.6684525288178828e-05
70	财产	5.561508429392943e-06
71	章	1.2976853001916867e-05
72	项目管理	8.342262644089414e-05
73	血糖	5.561508429392943e-06
74	衡阳	9.269180715654904e-06
75	赖	3.707672286261962e-06
76	城北	5.561508429392943e-06
77	日本籍	7.415344572523924e-06
78	对外	3.5222886719488636e-05
79	01099	1.1123016858785886e-05
80	跨世纪	1.2976853001916867e-05
81	派	9.269180715654904e-06
82	麦	5.561508429392943e-06
83	凯威	5.561508429392943e-06
84	罗宾	5.561508429392943e-06
85	副局级	7.415344572523924e-06
86	长电	5.561508429392943e-06
87	10-2001年	1.6684525288178828e-05
88	高树	5.561508429392943e-06
